"","Date","RMBperUSD","SHIBOR","LIBOR","CSI300","GSPC","m1_CN","m2_CN","m1_US","m2_US"
"3",2007-01-04,7.8073,2.5774,5.32,2067.09,1418.339966,128484.06,351498.77,1368.7,7064.1
"4",2007-01-05,7.8097,2.5717,5.32,2072.88,1409.709961,128484.06,351498.77,1368.7,7064.1
"5",2007-01-06,7.81096666666667,2.5674,5.32,2092.44,1410.753296,128484.06,351498.77,1368.7,7064.1
"6",2007-01-07,7.81223333333333,2.5631,5.32,2112,1411.796631,128484.06,351498.77,1368.7,7064.1
"7",2007-01-08,7.8135,2.5588,5.32,2131.56,1412.839966,128484.06,351498.77,1368.7,7064.1
"8",2007-01-09,7.8078,2.5572,5.32,2200.09,1412.109985,128484.06,351498.77,1368.7,7064.1
"9",2007-01-10,7.8081,2.5463,5.32,2255.97,1414.849976,128484.06,351498.77,1368.7,7064.1
"10",2007-01-11,7.7977,2.5343,5.32,2231.63,1423.819946,128484.06,351498.77,1368.7,7064.1
"11",2007-01-12,7.8012,2.5254,5.32,2173.75,1430.72998,128484.06,351498.77,1368.7,7064.1
"12",2007-01-13,7.79873333333333,2.52383333333333,5.32,2211.61333333333,1431.022491,128484.06,351498.77,1368.7,7064.1
"13",2007-01-14,7.79626666666667,2.52226666666667,5.32,2249.47666666667,1431.315002,128484.06,351498.77,1368.7,7064.1
"14",2007-01-15,7.7938,2.5207,5.32,2287.34,1431.607513,128484.06,351498.77,1368.7,7064.1
"15",2007-01-16,7.7895,2.5168,5.32,2353.87,1431.900024,128484.06,351498.77,1368.7,7064.1
"16",2007-01-17,7.7798,2.5167,5.32,2308.93,1430.619995,128484.06,351498.77,1368.7,7064.1
"17",2007-01-18,7.7758,2.5171,5.32,2317.09,1426.369995,128484.06,351498.77,1368.7,7064.1
"18",2007-01-19,7.7788,2.5173,5.32,2396.09,1430.5,128484.06,351498.77,1368.7,7064.1
"19",2007-01-20,7.7792,2.51753333333333,5.32,2427.83,1427.983317,128484.06,351498.77,1368.7,7064.1
"20",2007-01-21,7.7796,2.51776666666667,5.32,2459.57,1425.466634,128484.06,351498.77,1368.7,7064.1
"21",2007-01-22,7.78,2.518,5.32,2491.31,1422.949951,128484.06,351498.77,1368.7,7064.1
"22",2007-01-23,7.7815,2.518,5.32,2508.13,1427.98999,128484.06,351498.77,1368.7,7064.1
