DATE,USD1MTD156N
2007-01-01,5.32003
2007-02-01,5.32000
2007-03-01,5.31996
2007-04-01,5.32000
2007-05-01,5.32000
2007-06-01,5.32000
2007-07-01,5.32000
2007-08-01,5.49730
2007-09-01,5.49266
2007-10-01,4.98141
2007-11-01,4.76716
2007-12-01,5.01724
2008-01-01,3.90909
2008-02-01,3.13676
2008-03-01,2.80655
2008-04-01,2.78541
2008-05-01,2.50594
2008-06-01,2.47039
2008-07-01,2.46006
2008-08-01,2.46816
2008-09-01,2.92702
2008-10-01,3.80962
2008-11-01,1.62100
2008-12-01,1.08256
2009-01-01,0.38339
2009-02-01,0.46278
2009-03-01,0.53249
2009-04-01,0.44997
2009-05-01,0.34194
2009-06-01,0.31620
2009-07-01,0.29071
2009-08-01,0.27040
2009-09-01,0.24730
2009-10-01,0.24433
2009-11-01,0.23783
2009-12-01,0.23289
2010-01-01,0.23160
2010-02-01,0.22906
2010-03-01,0.23731
2010-04-01,0.25975
2010-05-01,0.33546
2010-06-01,0.34874
2010-07-01,0.33412
2010-08-01,0.27546
2010-09-01,0.25699
2010-10-01,0.25606
2010-11-01,0.25419
2010-12-01,0.26179
2011-01-01,0.26063
2011-02-01,0.26293
2011-03-01,0.25328
2011-04-01,0.22144
2011-05-01,0.19780
2011-06-01,0.18716
2011-07-01,0.18662
2011-08-01,0.21117
2011-09-01,0.23085
2011-10-01,0.24374
2011-11-01,0.25365
2011-12-01,0.28361
2012-01-01,0.28290
2012-02-01,0.25002
2012-03-01,0.24185
2012-04-01,0.23983
2012-05-01,0.23893
2012-06-01,0.24320
2012-07-01,0.24646
2012-08-01,0.23784
2012-09-01,0.22134
2012-10-01,0.21347
2012-11-01,0.20889
2012-12-01,0.21093
2013-01-01,0.20497
2013-02-01,0.20130
2013-03-01,0.20345
2013-04-01,0.19953
2013-05-01,0.19671
2013-06-01,0.19319
2013-07-01,0.19112
2013-08-01,0.18407
2013-09-01,0.18057
2013-10-01,0.17242
2013-11-01,0.16727
2013-12-01,0.16723
2014-01-01,0.15971
2014-02-01,0.15511
2014-03-01,0.15488
2014-04-01,0.15170
2014-05-01,0.15036
2014-06-01,0.15237
2014-07-01,0.15439
2014-08-01,0.15602
2014-09-01,0.15410
2014-10-01,0.15352
2014-11-01,0.15481
2014-12-01,0.16305
2015-01-01,0.16808
2015-02-01,0.17208
2015-03-01,0.17560
2015-04-01,0.18077
2015-05-01,0.18423
2015-06-01,0.18588
2015-07-01,0.18816
2015-08-01,0.19673
2015-09-01,0.20108
2015-10-01,0.19451
2015-11-01,0.20845
2015-12-01,0.35231
2016-01-01,0.42545
2016-02-01,0.43130
2016-03-01,0.43640
2016-04-01,0.43740
2016-05-01,0.44249
2016-06-01,0.45271
2016-07-01,0.48288
2016-08-01,0.51224
2016-09-01,0.52700
2016-10-01,0.53078
2016-11-01,0.56311
2016-12-01,0.71196
2017-01-01,0.77137
2017-02-01,0.77671
2017-03-01,0.92864
