Date,CSI300,S&P500
1/4/07,2067.09,1418.339966
1/5/07,2072.88,1409.709961
1/8/07,2131.56,1412.839966
1/9/07,2200.09,1412.109985
1/10/07,2255.97,1414.849976
1/11/07,2231.63,1423.819946
1/12/07,2173.75,1430.72998
1/15/07,2287.34,1431.900024
1/16/07,2353.87,1430.619995
1/17/07,2308.93,1426.369995
1/18/07,2317.09,1430.5
1/19/07,2396.09,1422.949951
1/22/07,2491.31,1427.98999
1/23/07,2508.13,1440.130005
1/24/07,2536.43,1423.900024
1/25/07,2452.83,1422.180054
1/26/07,2512.92,1420.619995
1/29/07,2576.92,1428.819946
1/30/07,2551.88,1438.23999
1/31/07,2385.33,1445.939941
2/1/07,2395.17,1448.390015
2/2/07,2298,1446.98999
2/5/07,2271.8,1448
2/6/07,2316.04,1450.02002
2/7/07,2369.79,1448.310059
2/8/07,2410.6,1438.060059
2/9/07,2397.25,1433.369995
2/12/07,2485.39,1444.26001
2/13/07,2522.63,1455.300049
2/14/07,2588.35,1456.810059
2/15/07,2668.63,1455.540039
2/16/07,2676.74,1459.680054
2/26/07,2707.68,1457.630005
2/27/07,2457.49,1456.380005
2/28/07,2544.57,1451.189941
3/1/07,2473.54,1449.369995
3/2/07,2508.73,1399.040039
3/5/07,2475.61,1406.819946
3/6/07,2520.29,1403.170044
3/7/07,2589.44,1387.170044
3/8/07,2627.63,1374.119995
3/9/07,2611.39,1395.410034
3/12/07,2616.17,1391.969971
3/13/07,2640.17,1401.890015
3/14/07,2597.36,1402.839966
3/15/07,2645.55,1406.599976
3/16/07,2604.23,1377.949951
3/19/07,2659.41,1387.170044
3/20/07,2672.77,1392.280029
3/21/07,2702.6,1386.949951
3/22/07,2711.32,1402.060059
3/23/07,2716.27,1410.939941
3/26/07,2764.03,1435.040039
3/27/07,2784.02,1434.540039
3/28/07,2797.65,1436.109985
3/29/07,2783.3,1437.5
3/30/07,2781.78,1428.609985
4/2/07,2850.11,1417.22998
4/3/07,2888.11,1422.530029
4/4/07,2911.82,1420.859985
4/5/07,2945.04,1424.550049
4/6/07,2972.01,1437.77002
4/9/07,3038.17,1439.369995
4/10/07,3081.57,1443.76001
4/11/07,3121.32,1444.609985
4/12/07,3176.44,1448.390015
4/13/07,3169.23,1438.869995
4/16/07,3256,1447.800049
4/17/07,3283.6,1452.849976
4/18/07,3304.5,1468.329956
4/19/07,3150.3,1471.47998
4/20/07,3289.28,1472.5
4/23/07,3431.32,1470.72998
4/24/07,3445.2,1484.349976
4/25/07,3448.28,1480.930054
4/26/07,3493.58,1480.410034
4/27/07,3470.52,1495.420044
4/30/07,3558.71,1494.25
5/8/07,3686.03,1494.069946
5/9/07,3701.28,1482.369995
5/10/07,3724.51,1486.300049
5/11/07,3702.61,1495.920044
5/14/07,3734.42,1502.390015
5/15/07,3604.64,1505.619995
5/16/07,3700.29,1509.47998
5/17/07,3778.6,1507.719971
5/18/07,3776.63,1512.579956
5/21/07,3831.44,1491.469971
5/22/07,3870.49,1505.849976
5/23/07,3938.95,1503.150024
5/24/07,3919.75,1501.189941
5/25/07,3985.25,1514.140015
5/28/07,4072.58,1512.75
