Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,3364.49,3489.76,3364.49,3452.81,000,3452.81
2017-01-03,3342.23,3387.96,3317.62,3387.96,000,3387.96
2016-12-01,3565.04,3565.04,3297.76,3310.08,000,3310.08
2016-11-01,3359.05,3564.04,3333.35,3538.00,000,3538.00
2016-10-10,3293.87,3367.58,3277.88,3336.28,000,3336.28
2016-09-01,3301.58,3342.63,3220.28,3253.28,000,3253.28
2016-08-01,3176.81,3393.42,3176.81,3327.79,000,3327.79
2016-07-01,3154.20,3282.87,3154.20,3203.93,000,3203.93
2016-06-01,3160.55,3189.33,3066.34,3153.92,000,3153.92
2016-05-02,3156.75,3213.92,3059.23,3169.56,000,3169.56
2016-04-01,3221.90,3275.83,3156.75,3156.75,000,3156.75
2016-03-01,2930.69,3249.44,2930.69,3218.09,000,3218.09
2016-02-01,2901.05,3118.87,2877.47,2877.47,000,2877.47
2016-01-04,3469.07,3539.81,2853.76,2946.09,000,2946.09
2015-12-01,3591.70,3876.73,3591.70,3731.00,000,3731.00
2015-11-02,3475.96,3840.35,3465.49,3566.41,000,3566.41
2015-10-08,3296.48,3592.88,3296.48,3534.08,000,3534.08
2015-09-01,3362.08,3399.30,3152.23,3202.95,000,3202.95
2015-08-03,3829.24,4084.36,3025.69,3366.54,000,3366.54
2015-07-01,4253.02,4253.02,3663.04,3816.70,000,3816.70
2015-06-01,5076.18,5353.75,4191.55,4473.00,000,4473.00
2015-05-04,4787.74,5198.92,4470.09,4840.83,000,4840.83
2015-04-01,4123.90,4807.59,4123.90,4749.89,000,4749.89
2015-03-02,3601.26,4088.18,3478.52,4051.20,000,4051.20
2015-02-02,3353.96,3572.84,3312.42,3572.84,000,3572.84
2015-01-01,3533.71,3643.79,3355.16,3434.39,000,3434.39
2014-12-01,2819.81,3533.71,2819.81,3533.71,000,3533.71
2014-11-03,2512.55,2808.82,2502.15,2808.82,000,2808.82
2014-10-08,2478.38,2508.32,2368.83,2508.32,000,2508.32
2014-09-01,2355.32,2450.99,2355.32,2450.99,000,2450.99
2014-08-01,2329.40,2375.62,2311.28,2338.29,000,2338.29
2014-07-01,2164.56,2350.25,2142.85,2350.25,000,2350.25
2014-06-03,2149.92,2191.85,2126.91,2165.12,000,2165.12
2014-05-05,2156.47,2180.05,2115.14,2156.46,000,2156.46
2014-04-01,2163.11,2273.76,2134.97,2158.66,000,2158.66
2014-03-03,2190.37,2190.37,2086.97,2146.30,000,2146.30
2014-02-07,2212.48,2311.65,2154.11,2178.97,000,2178.97
2014-01-02,2321.98,2321.98,2165.99,2202.45,000,2202.45
2013-12-02,2418.79,2475.14,2265.33,2330.03,000,2330.03
2013-11-01,2384.96,2439.53,2288.12,2438.94,000,2438.94
2013-10-08,2441.81,2472.54,2365.95,2373.72,000,2373.72
2013-09-02,2320.34,2507.46,2320.34,2409.04,000,2409.04
2013-08-01,2245.36,2359.07,2245.36,2313.91,000,2313.91
2013-07-01,2213.32,2326.69,2162.67,2193.02,000,2193.02
2013-06-03,2602.62,2602.62,2160.74,2200.64,000,2200.64
2013-05-02,2449.64,2644.36,2449.64,2606.43,000,2606.43
2013-04-01,2493.19,2533.83,2436.82,2447.31,000,2447.31
2013-03-01,2668.84,2668.84,2495.08,2495.08,000,2495.08
2013-02-01,2743.32,2775.84,2567.59,2673.33,000,2673.33
2013-01-01,2522.95,2688.71,2483.23,2686.88,000,2686.88
2012-12-03,2108.85,2522.95,2108.85,2522.95,000,2522.95
2012-11-01,2297.88,2306.77,2115.68,2139.66,000,2139.66
2012-10-01,2293.11,2341.59,2235.85,2254.82,000,2254.82
2012-09-03,2228.37,2326.67,2184.89,2293.11,000,2293.11
2012-08-01,2358.65,2411.70,2204.87,2204.87,000,2204.87
2012-07-02,2465.24,2472.61,2332.92,2332.92,000,2332.92
2012-06-01,2633.00,2633.00,2425.73,2461.61,000,2461.61
2012-05-01,2626.16,2717.78,2573.10,2632.04,000,2632.04
2012-04-02,2454.90,2631.49,2454.90,2626.16,000,2626.16
2012-03-01,2633.34,2681.07,2443.12,2454.90,000,2454.90
2012-02-01,2428.99,2662.46,2428.99,2634.14,000,2634.14
2012-01-02,2345.74,2504.09,2276.39,2464.26,000,2464.26
2011-12-01,2583.61,2583.61,2305.03,2345.74,000,2345.74
2011-11-01,2697.53,2763.75,2521.52,2521.52,000,2521.52
2011-10-10,2557.08,2709.02,2507.88,2695.31,000,2695.31
2011-09-01,2834.53,2834.53,2581.35,2581.35,000,2581.35
2011-08-01,2977.07,2977.07,2777.79,2846.78,000,2846.78
2011-07-01,3049.75,3128.89,2968.29,2972.08,000,2972.08
2011-06-01,3004.17,3044.09,2874.90,3044.09,000,3044.09
2011-05-03,3211.13,3211.13,2954.51,3001.56,000,3001.56
2011-04-01,3272.73,3372.03,3161.78,3192.72,000,3192.72
2011-03-01,3254.89,3338.86,3197.10,3223.29,000,3223.29
2011-02-01,3077.28,3257.91,3040.95,3239.56,000,3239.56
2011-01-04,3189.68,3189.68,2938.65,3076.51,000,3076.51
2010-12-01,3136.02,3269.47,3044.93,3128.26,000,3128.26
2010-11-01,3473.00,3548.57,3103.91,3136.99,000,3136.99
2010-10-08,3044.23,3481.08,3044.23,3379.98,000,3379.98
2010-09-01,2884.04,2983.11,2849.83,2935.57,000,2935.57
2010-08-02,2917.27,2955.40,2816.39,2903.19,000,2903.19
2010-07-01,2526.07,2877.98,2512.65,2868.85,000,2868.85
2010-06-01,2744.16,2783.72,2563.07,2563.07,000,2563.07
