Date,Open,High,Low,Close,Volume,Adj Close
2017-02-27,3446.22,3452.81,3446.22,3452.81,000,3452.81
2017-02-21,3482.82,3489.76,3473.32,3473.85,000,3473.85
2017-02-13,3436.27,3440.93,3421.44,3421.44,000,3421.44
2017-02-06,3373.21,3413.49,3365.68,3413.49,000,3413.49
2017-01-23,3364.08,3387.96,3364.08,3364.49,000,3364.49
2017-01-16,3319.45,3354.89,3319.45,3354.89,000,3354.89
2017-01-09,3363.90,3363.90,3317.62,3319.91,000,3319.91
2017-01-03,3342.23,3368.31,3342.23,3347.67,000,3347.67
2016-12-26,3322.40,3322.40,3297.76,3310.08,000,3310.08
2016-12-19,3328.98,3338.54,3307.60,3307.60,000,3307.60
2016-12-12,3409.18,3409.18,3378.95,3378.95,000,3378.95
2016-12-05,3469.41,3493.70,3459.15,3493.70,000,3493.70
2016-11-28,3535.08,3565.04,3528.95,3528.95,000,3528.95
2016-11-21,3441.11,3521.30,3441.11,3521.30,000,3521.30
2016-11-14,3430.25,3436.53,3417.46,3417.46,000,3417.46
2016-11-07,3356.59,3417.15,3353.05,3417.15,000,3417.15
2016-10-31,3336.28,3365.08,3333.35,3354.17,000,3354.17
2016-10-24,3367.58,3367.58,3340.13,3340.13,000,3340.13
2016-10-17,3277.88,3327.74,3277.88,3327.74,000,3327.74
2016-10-10,3293.87,3306.56,3293.87,3305.85,000,3305.85
2016-09-26,3220.28,3253.28,3220.28,3253.28,000,3253.28
2016-09-19,3263.12,3291.12,3257.40,3275.67,000,3275.67
2016-09-12,3262.60,3262.60,3238.73,3238.73,000,3238.73
2016-09-05,3319.68,3342.63,3318.04,3318.04,000,3318.04
2016-08-29,3307.78,3327.79,3301.58,3314.11,000,3314.11
2016-08-22,3336.79,3341.83,3307.09,3307.09,000,3307.09
2016-08-15,3393.42,3393.42,3364.49,3365.02,000,3365.02
2016-08-08,3234.18,3294.23,3233.36,3294.23,000,3294.23
2016-08-01,3176.81,3205.01,3176.81,3205.01,000,3205.01
2016-07-25,3230.89,3269.59,3203.93,3203.93,000,3203.93
2016-07-18,3262.02,3262.02,3225.16,3225.16,000,3225.16
2016-07-11,3203.33,3282.87,3203.33,3276.28,000,3276.28
2016-07-04,3204.70,3216.80,3192.28,3192.28,000,3192.28
2016-06-27,3120.54,3154.20,3120.54,3154.20,000,3154.20
2016-06-20,3112.67,3133.96,3077.16,3077.16,000,3077.16
2016-06-13,3066.34,3116.37,3066.34,3110.36,000,3110.36
2016-06-06,3178.79,3178.79,3163.99,3163.99,000,3163.99
2016-05-30,3066.71,3189.33,3066.71,3189.33,000,3189.33
2016-05-23,3087.22,3087.22,3059.23,3062.50,000,3062.50
2016-05-16,3095.31,3095.31,3062.50,3078.22,000,3078.22
2016-05-09,3065.62,3090.14,3065.62,3074.94,000,3074.94
2016-05-02,3156.75,3213.92,3130.35,3130.35,000,3130.35
2016-04-25,3162.03,3179.16,3156.75,3156.75,000,3156.75
2016-04-18,3228.45,3238.30,3160.60,3174.90,000,3174.90
2016-04-11,3230.10,3275.83,3218.45,3272.21,000,3272.21
2016-04-04,3221.90,3270.70,3173.09,3173.09,000,3173.09
2016-03-28,3169.73,3221.90,3135.41,3221.90,000,3221.90
2016-03-21,3249.44,3249.44,3181.85,3197.82,000,3197.82
2016-03-14,3065.69,3171.96,3065.69,3171.96,000,3171.96
2016-03-07,3104.84,3107.67,3013.15,3018.28,000,3018.28
2016-02-29,2877.47,3093.89,2877.47,3093.89,000,3093.89
2016-02-22,3118.87,3118.87,2918.75,2948.03,000,2948.03
2016-02-15,2946.71,3063.32,2946.71,3051.58,000,3051.58
2016-02-08,2963.79,2963.79,2963.79,2963.79,000,2963.79
2016-02-01,2901.05,2984.76,2901.05,2963.79,000,2963.79
2016-01-25,3128.89,3128.89,2853.76,2946.09,000,2946.09
2016-01-18,3130.73,3223.12,3081.34,3113.46,000,3113.46
2016-01-11,3192.45,3221.57,3118.73,3118.73,000,3118.73
2016-01-04,3469.07,3539.81,3294.38,3361.56,000,3361.56
2015-12-28,3727.63,3765.18,3727.63,3731.00,000,3731.00
2015-12-21,3865.97,3876.73,3829.40,3838.20,000,3838.20
