Date,SHIBOR
1/4/2007,2.5774
1/5/2007,2.5717
1/8/2007,2.5588
1/9/2007,2.5572
1/10/2007,2.5463
1/11/2007,2.5343
1/12/2007,2.5254
1/15/2007,2.5207
1/16/2007,2.5168
1/17/2007,2.5167
1/18/2007,2.5171
1/19/2007,2.5173
1/22/2007,2.518
1/23/2007,2.518
1/24/2007,2.5184
1/25/2007,2.5185
1/26/2007,2.5186
1/29/2007,2.5194
1/30/2007,2.5195
1/31/2007,2.5196
2/1/2007,2.5236
2/2/2007,2.5286
2/5/2007,2.6652
2/6/2007,2.8405
2/7/2007,3.0862
2/8/2007,3.266
2/9/2007,3.6175
2/12/2007,4.0491
2/13/2007,4.0089
2/14/2007,3.9566
2/15/2007,3.162
2/16/2007,2.8076
2/17/2007,2.6557
2/25/2007,2.7036
2/26/2007,2.6964
2/27/2007,2.6891
2/28/2007,2.5326
3/1/2007,2.4624
3/2/2007,2.4225
3/5/2007,2.3073
3/6/2007,2.2561
3/7/2007,2.26
3/8/2007,2.2615
3/9/2007,2.2616
3/12/2007,2.2587
3/13/2007,2.2498
3/14/2007,2.227
3/15/2007,2.2302
3/16/2007,2.2503
3/19/2007,2.3381
3/20/2007,2.3896
3/21/2007,2.411
3/22/2007,2.4212
3/23/2007,2.4365
3/26/2007,2.4588
3/27/2007,2.4983
3/28/2007,2.5819
3/29/2007,2.6427
3/30/2007,2.6809
4/2/2007,2.6955
4/3/2007,2.7075
4/4/2007,2.7333
4/5/2007,2.7559
4/6/2007,2.8552
4/9/2007,2.9228
4/10/2007,2.9863
4/11/2007,3.0406
4/12/2007,3.0465
4/13/2007,3.0815
4/16/2007,3.3444
4/17/2007,3.4674
4/18/2007,3.7489
4/19/2007,4.197
4/20/2007,4.33
4/23/2007,4.4014
4/24/2007,4.4443
4/25/2007,4.3539
4/26/2007,4.1441
4/27/2007,3.8855
4/28/2007,2.9779
4/29/2007,2.7349
4/30/2007,2.5498
5/8/2007,2.6505
5/9/2007,2.7114
5/10/2007,2.77
5/11/2007,3.0365
5/14/2007,3.176
5/15/2007,3.14
5/16/2007,3.1272
5/17/2007,3.0121
5/18/2007,2.9143
5/21/2007,2.973
5/22/2007,2.999
5/23/2007,3.0109
5/24/2007,3.0169
5/25/2007,3.0193
5/28/2007,3.0141
5/29/2007,3.0144
5/30/2007,3.0177
5/31/2007,3.0327
6/1/2007,3.0357
6/4/2007,3.0444
6/5/2007,3.0399
6/6/2007,3.0316
6/7/2007,2.9691
6/8/2007,2.973
6/11/2007,2.9713
6/12/2007,2.9938
6/13/2007,3.0056
6/14/2007,3.034
6/15/2007,3.0495
6/18/2007,3.1327
6/19/2007,3.1336
6/20/2007,3.1271
6/21/2007,3.0932
6/22/2007,3.0729
6/25/2007,3.0617
6/26/2007,3.0051
6/27/2007,2.9985
6/28/2007,2.9996
6/29/2007,3.0502
7/2/2007,3.0808
7/3/2007,3.0706
7/4/2007,3.0354
7/5/2007,3.0262
7/6/2007,3.093
7/9/2007,3.1432
7/10/2007,3.2286
7/11/2007,3.266
7/12/2007,3.239
