Date,Balance
2017/2,-9147680
2017/1,51343169
2016/12,40818370
2016/11,44229654
2016/10,48764390
2016/9,41977662
2016/8,52049285
2016/7,50227359
2016/6,47908887
2016/5,49979506
2016/4,45557603
2016/3,29856925
2016/2,32592484
2016/1,63286844
2015/12,59389164
2015/11,53744813
2015/10,61643390
2015/9,60341879
2015/8,60239719
2015/7,43024946
2015/6,46538778
2015/5,59488009
2015/4,34134481
2015/3,3081216
2015/2,60618996
2015/1,60031885
2014/12,49613263
2014/11,54476378
2014/10,45405487
2014/9,30942678
2014/8,49835502
2014/7,47300239
2014/6,31564346
2014/5,35921731
2014/4,18454765
2014/3,7705527
2014/2,-22988794
2014/1,31869303
2013/12,25640850
2013/11,33800918
2013/10,31106712
2013/9,15206504
2013/8,28518770
2013/7,17817951
2013/6,27124404
2013/5,20424958
2013/4,18161480
2013/3,-884291
2013/2,15250980
2013/1,29146259
2012/12,31618437
2012/11,19633275
2012/10,31992491
2012/9,27669029
2012/8,26660527
2012/7,25146735
2012/6,31722105
2012/5,18695305
2012/4,18425850
2012/3,5345981
2012/2,-31483321
2012/1,27276569
2011/12,16519919
2011/11,14528128
2011/10,17033074
2011/9,14513932
2011/8,17758958
2011/7,31483609
2011/6,22272575
2011/5,13046384
2011/4,11423165
2011/3,138763
2011/2,-7306100
2011/1,6460941
2010/12,13080062
2010/11,22889817
2010/10,27145718
2010/9,16874981
2010/8,20036078
2010/7,28730388
2010/6,20021852
2010/5,19532914
2010/4,1681204
2010/3,-7236299
2010/2,7612381
2010/1,14168252
2009/12,18430168
2009/11,19092998
2009/10,23987634
2009/9,12932123
2009/8,15711775
2009/7,10629657
2009/6,8251663
2009/5,13388530
2009/4,13135035
2009/3,18561435
2009/2,4840991
2009/1,39109336
2008/12,38980036
2008/11,40089815
2008/10,35239342
2008/9,29366814
2008/8,28694182
2008/7,25277899
2008/6,20999618
2008/5,20210429
2008/4,16668401
2008/3,13406749
2008/2,8554663
2008/1,19465583
2007/12,22687005
2007/11,26281250
2007/10,27050656
2007/9,23805843
2007/8,24974077
2007/7,24356915
2007/6,26910069
2007/5,22474220
2007/4,16845747
2007/3,6871440
2007/2,23756232
2007/1,15880532
